hours; total             ; analyzed         ; missing          ; relation_number ; proportion         ; rep               ; row_number ; weight_sum        ; relation_number 
27;48164166.02;11363405.11;15585729.94;1049;0.235930694;0.421661218;203168;48164167.34;37690
27.25;48600929.9;11471361.5;15842641.83;1059;0.236031729;0.419980966;205004;48600929.9;37836
27.5;48953238.21;11550845.3;15829469.78;1059;0.235956716;0.421866778;205605;48957554.85;37865
27.75;49402094.97;11728701.33;15972592.23;1060;0.237413036;0.423399048;205982;49402094.97;37889
28;49925939.45;11933755.06;16053933.34;1073;0.239029154;0.426393023;207061;49925939.45;38040
28.25;50339713.91;12031611.87;16288911.68;1076;0.239008348;0.424837198;207542;50339755.09;38098
28.5;50851282.08;12138800.4;16278967;1079;0.238711787;0.427155316;208507;50851296.44;38216
28.75;51394104.19;12135147.5;16306567.18;1084;0.236119448;0.426667226;209572;51394104.19;38373
29;51917369.01;12182160.23;16499141.79;1089;0.234645177;0.424742232;210246;51917681.66;38439
29.25;52547974.03;12311137.36;16717382.67;1101;0.234283768;0.424104892;211357;52549319.71;38531
29.5;53082434.04;12332747.34;16761727.03;1108;0.232331986;0.42388624;213126;53082434.04;38713
29.75;53677795.02;12556984.6;17000424.46;1115;0.233932571;0.424833739;213889;53687854.85;38798
30;54257716;12722693.17;17261985.97;1122;0.234486339;0.424306464;214827;54257766.02;38858
30.25;54883460.82;12743943.86;17502043.58;1124;0.232200077;0.42134329;215299;54883462.39;38937
30.5;55455903.56;12862237.5;17572252.05;1125;0.231936308;0.422620445;216036;55458185.73;39018
30.75;55903197.32;12820296.84;17422852.81;1134;0.229330297;0.423907463;216619;55903519.46;39155
31;56542657.63;12946886.69;17573697.27;1137;0.22897556;0.424201801;217335;56542676.71;39298
31.25;57153213.69;13173595.16;17669217.56;1140;0.23049614;0.427120421;218211;57153213.69;39412
31.5;57751923.5;13283192.21;17776103.78;1144;0.230004326;0.427672031;219194;57751923.5;39533
31.75;58353265.98;13521215.28;17704038.98;1154;0.231713085;0.433021783;220216;58353815.82;39661
32;58972820.81;13645775.44;17816474.09;1157;0.231390923;0.433719001;220897;58972820.92;39741
32.25;59588148.42;13933458.48;17746896.26;1167;0.233829358;0.43981384;221986;59588148.42;39867
32.5;60163271.42;13951067.2;17773058.93;1172;0.231886779;0.439762064;222822;60163285.82;39926
32.75;60778187.01;14149678.61;17948391.89;1180;0.232808501;0.440826454;223978;60778187.01;40013
33;61378396.18;14386856.63;18184223.05;1181;0.234396099;0.44170647;224545;61378396.46;40116
33.25;62038930.1;14533827.92;18257423.81;1185;0.23426948;0.443222724;225493;62038930.1;40235
33.5;62738098.1;14596011.68;18081808;1187;0.232649891;0.446664185;226850;62739422.92;40365
33.75;63385566.51;14807166.84;19118020.78;1192;0.233604709;0.43646529;227976;63386335.45;40472
34;64006993.33;15060736.29;19283419.21;1194;0.235298293;0.438523995;229753;64013493.71;40585
34.25;64539658.31;15167766.5;19237379.45;1197;0.23501467;0.440857496;230437;64539658.31;40642
34.5;65153702.91;15323765.49;19381105.45;1201;0.235194084;0.441545094;231019;65153702.91;40725
34.75;65688453.67;15458281.59;19511958.45;1205;0.235327226;0.442041049;231524;65688682.56;40794
35;66277667.43;15598150.92;19495666.02;1213;0.235345502;0.44447006;232297;66277667.43;40872
35.25;66911284.15;15742415.37;19665344.55;1215;0.235272952;0.444603539;233053;66911405.82;40937
35.5;67573201.86;15784358.7;19754472.84;1216;0.23358903;0.444143997;233654;67573231.96;40979
35.75;68211065.77;15922577.36;19779478.07;1218;0.233431001;0.445984893;234352;68211084.73;41083
36;68847515.73;16061050.18;19796650.57;1220;0.233284382;0.447910765;235137;68853476.96;41134
36.25;69453360.61;16237168.1;19960267.42;1222;0.233785204;0.448572333;235683;69453416.37;41190
36.5;69982311.42;16344727.71;20029721.56;1222;0.233555128;0.449346397;236321;69982315.84;41245
36.75;70642907.92;16508449.94;20204696.17;1230;0.233688709;0.449660454;237911;70642965.12;41393
37;71250109.2;16608805.52;20411889.39;1231;0.233105685;0.448635704;238873;71250109.2;41464
37.25;71929928.85;16759315.95;20651175.12;1232;0.23299503;0.447984388;239951;71929957.79;41511
37.5;72562338.05;16931748.05;20847636.19;1232;0.233340718;0.448174273;240734;72562341.4;41599
37.75;73206818.02;17070077.49;21003351.63;1242;0.233176061;0.448346206;241446;73206818.02;41693
38;73835043.25;17215508.16;21293685.52;1243;0.233161754;0.447049302;241857;73835043.25;41738
38.25;74473963.22;17367884.29;21379721.17;1244;0.233207467;0.448231164;242423;74474073.08;41809
38.5;75123488.61;17525328.27;21368742.94;1249;0.233286933;0.450591253;243650;75127148.81;41942
38.75;75737955.72;17703082.48;21571006.07;1253;0.233741224;0.450757309;245542;75737955.72;42052
39;76383977.72;17656760.09;21619267.51;1255;0.231157903;0.449555649;246047;76390402.64;42108
39.25;76974576;17783706.78;21707082.13;1257;0.231033514;0.450325437;246431;76974700.76;42150
39.5;77611208.5;17936739.55;21510297.19;1258;0.231110169;0.454704359;246910;77611208.5;42199
39.75;78222548.2;18072665.54;21707082.7;1259;0.231041636;0.454318248;247362;78223949.39;42255
40;78877345.02;18203873.14;21938564.97;1263;0.230787093;0.453482001;247985;78877345.02;42348
40.25;79437785.72;18302873.7;22154242.28;1269;0.230405134;0.45240184;249057;79437785.72;42484
40.5;80069719.91;18425970.09;22340923.73;1278;0.230124073;0.451983665;249703;80069719.91;42595
40.75;80594906.4;18523527.68;22472021.16;1282;0.229834967;0.451842412;250123;80595290.87;42640
41;80956587.72;18592351.65;22645511.99;1282;0.229658292;0.450856325;250417;80956587.72;42674
41.25;81446096.06;18701846.61;22708081.9;1287;0.229622382;0.451627117;251198;81446152.73;42814
41.5;82072988.8;18838254.7;22816961.34;1292;0.229530507;0.452242396;251888;82073001.93;42900
41.75;82669735.73;18963301.95;22874517.83;1294;0.229386266;0.453257413;252253;82669741.47;42937
42;83245730.76;19087869.69;22994951.34;1297;0.229295479;0.453578663;252869;83245730.76;42981
42.25;83571293.52;19163419.88;23140332.81;1298;0.229306249;0.452995743;253104;83571632.52;43009
42.5;83669377.61;19187502.74;23162796.85;1299;0.229325271;0.453066517;253373;83669377.61;43029
42.75;83725150.16;19200570.45;23169005.35;1300;0.229328588;0.453168815;253451;83725150.16;43044
43;83753094.91;19205638.93;23181969.53;1300;0.229312588;0.453095601;253494;83753094.91;43046
43.25;84097437.86;19293027.96;23320317.79;1304;0.229412791;0.452746144;254174;84097437.86;43093
43.5;84756433.9;19422983.5;23550700.07;1305;0.229162349;0.451973903;254867;84756433.9;43139
43.75;85387544;19573258.88;23349541.41;1311;0.229228503;0.456010762;255308;85387544.37;43159
44;86006754.65;20236253.24;23598532.31;1316;0.23528679;0.461648277;256618;86006850.81;43218
